tourney_id,tourney_name,surface,tourney_level,tourney_date,score,round,minutes,winner_rank,loser_rank,tie-break,bagel,year
2016-M020,Brisbane,Hard,A,20160104,6-2 7-5,R32,84,65,61,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-0 6-3,R32,67,197,76,0,1,2016
2016-M020,Brisbane,Hard,A,20160104,6-4 6-3,R32,69,18,71,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-3 6-2,R32,67,87,813,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,4-6 6-3 7-5,R32,143,78,117,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-4 6-4,R32,82,16,37,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,3-6 6-4 6-3,R32,113,20,120,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,4-6 6-3 6-2,R32,103,69,129,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,7-6(8) 6-4,R32,102,51,60,1,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-3 7-6(10),R32,125,28,15,1,0,2016
2016-M020,Brisbane,Hard,A,20160104,7-6(3) 6-1,R32,70,22,32,1,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-2 6-4,R32,79,277,231,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-3 6-4,R16,89,8,65,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,7-6(6) 4-6 7-6(4),R16,157,18,197,2,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-7(2) 6-1 6-4,R16,145,14,87,1,0,2016
2016-M020,Brisbane,Hard,A,20160104,7-6(5) 4-6 6-3,R16,122,78,16,1,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-3 6-2,R16,56,20,69,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,7-5 7-6(3),R16,106,13,51,1,0,2016
2016-M020,Brisbane,Hard,A,20160104,5-7 7-6(6) 6-2,R16,167,28,22,1,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-2 6-1,R16,55,3,277,0,0,2016
2016-M020,Brisbane,Hard,A,20160104,6-3 1-6 6-3,QF,119,18,8,0,0,2016
